(VOID, void)
(ID, qsort)
(LPA, ()
(INT, int)
(ID, low)
(CMA, ,)
(INT, int)
(ID, high)
(RPA, ))
(LBR, {)
(INT, int)
(ID, i)
(CMA, ,)
(ID, j)
(SCO, ;)
(FLOAT, float)
(ID, x)
(SCO, ;)
(ID, i)
(ASG, =)
(INPUT, input)
(LPA, ()
(RPA, ))
(SCO, ;)
(IF, if)
(LPA, ()
(ID, i)
(ROP, <=)
(ID, high)
(RPA, ))
(LBR, {)
(ID, x)
(ASG, =)
(FLO, -3.14)
(SCO, ;)
(PRINT, print)
(LPA, ()
(ID, i)
(RPA, ))
(SCO, ;)
(RBR, })
(ELSE, else)
(LBR, {)
(WHILE, while)
(LPA, ()
(ID, j)
(ROP, <)
(INT, 10)
(RPA, ))
(LBR, {)
(ID, j)
(ASG, =)
(ID, j)
(ADD, +)
(INT, 1)
(SCO, ;)
(RBR, })
(RBR, })
(RETURN, return)
(SCO, ;)
(RBR, })
Scanner finished with 0 lexical error(s).
