trace,cache_size,assoc,block_size,reads,writes,read_miss,write_miss,replacements,read_miss_rate,write_miss_rate,total_miss_rate
trace files/022.li.din,8192,1,16,155399,102350,7282,6171,12941,4.6860,6.0293,5.2194
trace files/022.li.din,8192,1,32,155399,102350,6153,3989,9886,3.9595,3.8974,3.9348
trace files/022.li.din,8192,1,64,155399,102350,7114,3059,10045,4.5779,2.9888,3.9469
trace files/022.li.din,8192,1,128,155399,102350,8177,3265,11378,5.2619,3.1900,4.4392
trace files/022.li.din,8192,2,16,155399,102350,4894,5341,9723,3.1493,5.2184,3.9709
trace files/022.li.din,8192,2,32,155399,102350,3359,2906,6009,2.1615,2.8393,2.4307
trace files/022.li.din,8192,2,64,155399,102350,2692,1652,4216,1.7323,1.6141,1.6854
trace files/022.li.din,8192,2,128,155399,102350,2420,1018,3374,1.5573,0.9946,1.3339
trace files/022.li.din,8192,4,16,155399,102350,4623,5271,9382,2.9749,5.1500,3.8386
trace files/022.li.din,8192,4,32,155399,102350,2970,2809,5523,1.9112,2.7445,2.2421
trace files/022.li.din,8192,4,64,155399,102350,2114,1541,3527,1.3604,1.5056,1.4180
trace files/022.li.din,8192,4,128,155399,102350,1749,872,2557,1.1255,0.8520,1.0169
trace files/022.li.din,8192,8,16,155399,102350,4499,5206,9193,2.8951,5.0865,3.7653
trace files/022.li.din,8192,8,32,155399,102350,2872,2784,5400,1.8481,2.7201,2.1944
trace files/022.li.din,8192,8,64,155399,102350,2008,1513,3393,1.2922,1.4783,1.3661
trace files/022.li.din,8192,8,128,155399,102350,1511,840,2287,0.9723,0.8207,0.9121
trace files/022.li.din,16384,1,16,155399,102350,4386,4321,7683,2.8224,4.2218,3.3781
trace files/022.li.din,16384,1,32,155399,102350,3672,2788,5948,2.3629,2.7240,2.5063
trace files/022.li.din,16384,1,64,155399,102350,3567,2151,5462,2.2954,2.1016,2.2184
trace files/022.li.din,16384,1,128,155399,102350,4182,2084,6138,2.6911,2.0362,2.4310
trace files/022.li.din,16384,2,16,155399,102350,2761,3414,5151,1.7767,3.3356,2.3957
trace files/022.li.din,16384,2,32,155399,102350,1808,1876,3172,1.1635,1.8329,1.4293
trace files/022.li.din,16384,2,64,155399,102350,1371,1060,2175,0.8822,1.0357,0.9432
trace files/022.li.din,16384,2,128,155399,102350,1110,626,1608,0.7143,0.6116,0.6735
trace files/022.li.din,16384,4,16,155399,102350,2501,3314,4791,1.6094,3.2379,2.2561
trace files/022.li.din,16384,4,32,155399,102350,1496,1809,2793,0.9627,1.7675,1.2823
trace files/022.li.din,16384,4,64,155399,102350,1033,989,1766,0.6647,0.9663,0.7845
trace files/022.li.din,16384,4,128,155399,102350,707,528,1107,0.4550,0.5159,0.4791
trace files/022.li.din,16384,8,16,155399,102350,2413,3307,4696,1.5528,3.2311,2.2192
trace files/022.li.din,16384,8,32,155399,102350,1417,1794,2699,0.9118,1.7528,1.2458
trace files/022.li.din,16384,8,64,155399,102350,926,964,1634,0.5959,0.9419,0.7333
trace files/022.li.din,16384,8,128,155399,102350,633,512,1017,0.4073,0.5002,0.4442
trace files/022.li.din,32768,1,16,155399,102350,3425,4053,5980,2.2040,3.9599,2.9013
trace files/022.li.din,32768,1,32,155399,102350,2885,2611,4709,1.8565,2.5511,2.1323
trace files/022.li.din,32768,1,64,155399,102350,2836,1991,4400,1.8250,1.9453,1.8728
trace files/022.li.din,32768,1,128,155399,102350,3002,1885,4670,1.9318,1.8417,1.8960
trace files/022.li.din,32768,2,16,155399,102350,1243,3008,2292,0.7999,2.9389,1.6493
trace files/022.li.din,32768,2,32,155399,102350,743,1647,1395,0.4781,1.6092,0.9273
trace files/022.li.din,32768,2,64,155399,102350,468,896,852,0.3012,0.8754,0.5292
trace files/022.li.din,32768,2,128,155399,102350,310,483,537,0.1995,0.4719,0.3077
trace files/022.li.din,32768,4,16,155399,102350,1365,2947,2300,0.8784,2.8793,1.6729
trace files/022.li.din,32768,4,32,155399,102350,778,1626,1391,0.5006,1.5887,0.9327
trace files/022.li.din,32768,4,64,155399,102350,452,872,812,0.2909,0.8520,0.5137
trace files/022.li.din,32768,4,128,155399,102350,281,457,482,0.1808,0.4465,0.2863
trace files/022.li.din,32768,8,16,155399,102350,1307,2821,2080,0.8411,2.7562,1.6016
trace files/022.li.din,32768,8,32,155399,102350,712,1555,1243,0.4582,1.5193,0.8795
trace files/022.li.din,32768,8,64,155399,102350,383,844,715,0.2465,0.8246,0.4760
trace files/022.li.din,32768,8,128,155399,102350,223,445,412,0.1435,0.4348,0.2592
trace files/022.li.din,65536,1,16,155399,102350,1160,2905,1534,0.7465,2.8383,1.5771
trace files/022.li.din,65536,1,32,155399,102350,795,1595,1045,0.5116,1.5584,0.9273
trace files/022.li.din,65536,1,64,155399,102350,636,912,836,0.4093,0.8911,0.6006
trace files/022.li.din,65536,1,128,155399,102350,585,555,775,0.3765,0.5423,0.4423
trace files/022.li.din,65536,2,16,155399,102350,701,2738,763,0.4511,2.6751,1.3342
trace files/022.li.din,65536,2,32,155399,102350,463,1492,561,0.2979,1.4577,0.7585
trace files/022.li.din,65536,2,64,155399,102350,290,802,357,0.1866,0.7836,0.4237
trace files/022.li.din,65536,2,128,155399,102350,194,424,242,0.1248,0.4143,0.2398
trace files/022.li.din,65536,4,16,155399,102350,581,2747,429,0.3739,2.6839,1.2912
trace files/022.li.din,65536,4,32,155399,102350,347,1499,335,0.2233,1.4646,0.7162
trace files/022.li.din,65536,4,64,155399,102350,192,799,192,0.1236,0.7807,0.3845
trace files/022.li.din,65536,4,128,155399,102350,103,412,103,0.0663,0.4025,0.1998
trace files/022.li.din,65536,8,16,155399,102350,447,2696,93,0.2876,2.6341,1.2194
trace files/022.li.din,65536,8,32,155399,102350,255,1455,101,0.1641,1.4216,0.6634
trace files/022.li.din,65536,8,64,155399,102350,152,772,73,0.0978,0.7543,0.3585
trace files/022.li.din,65536,8,128,155399,102350,91,400,55,0.0586,0.3908,0.1905
trace files/047.tomcatv.din,8192,1,16,253723,130733,9330,33894,42712,3.6772,25.9261,11.2429
trace files/047.tomcatv.din,8192,1,32,253723,130733,5782,17788,23314,2.2789,13.6064,6.1307
trace files/047.tomcatv.din,8192,1,64,253723,130733,4468,9957,14297,1.7610,7.6163,3.7521
trace files/047.tomcatv.din,8192,1,128,253723,130733,4897,6431,11264,1.9301,4.9192,2.9465
trace files/047.tomcatv.din,8192,2,16,253723,130733,8461,33758,41707,3.3347,25.8221,10.9815
trace files/047.tomcatv.din,8192,2,32,253723,130733,4687,18034,22465,1.8473,13.7945,5.9099
trace files/047.tomcatv.din,8192,2,64,253723,130733,2935,10517,13324,1.1568,8.0446,3.4990
trace files/047.tomcatv.din,8192,2,128,253723,130733,2374,7515,9825,0.9357,5.7484,2.5722
trace files/047.tomcatv.din,8192,4,16,253723,130733,587,33574,33649,0.2314,25.6814,8.8855
trace files/047.tomcatv.din,8192,4,32,253723,130733,578,17471,17793,0.2278,13.3639,4.6947
