elapsed_ms,label,plan_execution_ms,plan_file,query_index,run,statement_index,type
14.228,indexes,,,,,1,ddl
24.69,indexes,,,,,2,ddl
12.488,indexes,,,,,3,ddl
13.511,indexes,,,,,4,ddl
885.665,analyze,,,,,,maintenance
158.717,,150.099,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_01_run_01.txt,1,1,,query
153.182,,148.976,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_01_run_02.txt,1,2,,query
205.158,,150.208,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_01_run_03.txt,1,3,,query
144.827,,140.482,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_02_run_01.txt,2,1,,query
145.128,,140.569,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_02_run_02.txt,2,2,,query
232.025,,140.617,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_02_run_03.txt,2,3,,query
160.753,,155.301,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_03_run_01.txt,3,1,,query
160.012,,155.345,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_03_run_02.txt,3,2,,query
201.088,,155.958,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_03_run_03.txt,3,3,,query
147.396,,142.939,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_04_run_01.txt,4,1,,query
145.796,,141.779,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_04_run_02.txt,4,2,,query
228.124,,142.21,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_04_run_03.txt,4,3,,query
145.551,,140.745,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_05_run_01.txt,5,1,,query
145.707,,141.153,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_05_run_02.txt,5,2,,query
231.63,,156.478,/Users/rinalic/Local/Github/XJTU-Labs/Database-System/JDBC/query-optimization/experiment-results/20260602-030648/plans/query_05_run_03.txt,5,3,,query
