/home/rin/Local/Github/XJTU-Labs/Machine-Learning/lab-transformer;source .venv/bin/activate;python transformerQA2.py --mode train 
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  Batch 0 | Loss: 10.5681
  Batch 100 | Loss: 6.3548
  Batch 200 | Loss: 5.9381
  Batch 300 | Loss: 5.6097
  Batch 400 | Loss: 5.4254
  Batch 500 | Loss: 5.2973
  Batch 600 | Loss: 5.1797
  Batch 700 | Loss: 5.0817
  Batch 800 | Loss: 5.0129
  Batch 900 | Loss: 4.9451
  Batch 1000 | Loss: 4.8832
  Batch 1100 | Loss: 4.8416
  Batch 1200 | Loss: 4.7864
  Batch 1300 | Loss: 4.7434
  Batch 1400 | Loss: 4.7042
  Batch 1500 | Loss: 4.6673
  Batch 1600 | Loss: 4.6278
  Batch 1700 | Loss: 4.5905
  Batch 1800 | Loss: 4.5609
  Batch 1900 | Loss: 4.5296
  Batch 2000 | Loss: 4.5036
  Batch 2100 | Loss: 4.4790
  Batch 2200 | Loss: 4.4496
  Batch 2300 | Loss: 4.4182
  Batch 2400 | Loss: 4.3922
  Batch 2500 | Loss: 4.3632
  Batch 2600 | Loss: 4.3411
  Batch 2700 | Loss: 4.3151
  Batch 2800 | Loss: 4.2893
  Batch 2900 | Loss: 4.2662
  Batch 3000 | Loss: 4.2391
  Batch 3100 | Loss: 4.2141
  Batch 3200 | Loss: 4.1881
  Batch 3300 | Loss: 4.1637
  Batch 3400 | Loss: 4.1404
  Batch 3500 | Loss: 4.1179
  Batch 3600 | Loss: 4.0941
  Batch 3700 | Loss: 4.0692
  Batch 3800 | Loss: 4.0488
  Batch 3900 | Loss: 4.0262
  Batch 4000 | Loss: 4.0049
  Batch 4100 | Loss: 3.9843
  Batch 4200 | Loss: 3.9644
  Batch 4300 | Loss: 3.9441
  Batch 4400 | Loss: 3.9245
  Batch 4500 | Loss: 3.9049
  Batch 4600 | Loss: 3.8840
  Batch 4700 | Loss: 3.8663
  Batch 4800 | Loss: 3.8463
  Batch 4900 | Loss: 3.8278
  Batch 5000 | Loss: 3.8077
  Batch 5100 | Loss: 3.7893
  Batch 5200 | Loss: 3.7706
  Batch 5300 | Loss: 3.7513
  Batch 5400 | Loss: 3.7335
  Batch 5500 | Loss: 3.7167
  Batch 5600 | Loss: 3.7004
  Batch 5700 | Loss: 3.6821
  Batch 5800 | Loss: 3.6650
  Batch 5900 | Loss: 3.6473
  Batch 6000 | Loss: 3.6298
  Batch 6100 | Loss: 3.6133
  Batch 6200 | Loss: 3.5984
  Batch 6300 | Loss: 3.5816
  Batch 6400 | Loss: 3.5651
  Batch 6500 | Loss: 3.5480
  Batch 6600 | Loss: 3.5331
  Batch 6700 | Loss: 3.5158
  Batch 6800 | Loss: 3.4995
  Batch 6900 | Loss: 3.4840
  Batch 7000 | Loss: 3.4686
  Batch 7100 | Loss: 3.4549
  Batch 7200 | Loss: 3.4406
  Batch 7300 | Loss: 3.4258
  Batch 7400 | Loss: 3.4111
  Batch 7500 | Loss: 3.3971
  Batch 7600 | Loss: 3.3840
  Batch 7700 | Loss: 3.3699
  Batch 7800 | Loss: 3.3562
  Batch 7900 | Loss: 3.3419
  Batch 8000 | Loss: 3.3292
  Batch 8100 | Loss: 3.3168
  Batch 8200 | Loss: 3.3025
  Batch 8300 | Loss: 3.2890
  Batch 8400 | Loss: 3.2750
  Batch 8500 | Loss: 3.2615
  Batch 8600 | Loss: 3.2488
  Batch 8700 | Loss: 3.2364
  Batch 8800 | Loss: 3.2236
  Batch 8900 | Loss: 3.2107
  Batch 9000 | Loss: 3.1977
  Batch 9100 | Loss: 3.1853
  Batch 9200 | Loss: 3.1720
  Batch 9300 | Loss: 3.1603
  Batch 9400 | Loss: 3.1484
  Batch 9500 | Loss: 3.1363
  Batch 9600 | Loss: 3.1239
  Batch 9700 | Loss: 3.1116
  Batch 9800 | Loss: 3.0992
  Batch 9900 | Loss: 3.0884
  Batch 10000 | Loss: 3.0763
  Batch 10100 | Loss: 3.0659
  Batch 10200 | Loss: 3.0548
  Batch 10300 | Loss: 3.0436
  Batch 10400 | Loss: 3.0322
  Batch 10500 | Loss: 3.0207
  Batch 10600 | Loss: 3.0101
  Batch 10700 | Loss: 2.9986
  Batch 10800 | Loss: 2.9881
Epoch 1 | train_loss=2.9827 | dev_loss=1.7377
  Batch 0 | Loss: 2.9718
  Batch 100 | Loss: 1.6541
  Batch 200 | Loss: 1.6274
  Batch 300 | Loss: 1.6460
  Batch 400 | Loss: 1.6563
  Batch 500 | Loss: 1.6680
  Batch 600 | Loss: 1.6592
  Batch 700 | Loss: 1.6565
  Batch 800 | Loss: 1.6604
  Batch 900 | Loss: 1.6521
  Batch 1000 | Loss: 1.6508
  Batch 1100 | Loss: 1.6412
  Batch 1200 | Loss: 1.6410
  Batch 1300 | Loss: 1.6352
  Batch 1400 | Loss: 1.6326
  Batch 1500 | Loss: 1.6282
  Batch 1600 | Loss: 1.6241
  Batch 1700 | Loss: 1.6164
  Batch 1800 | Loss: 1.6151
  Batch 1900 | Loss: 1.6067
  Batch 2000 | Loss: 1.6006
  Batch 2100 | Loss: 1.5889
  Batch 2200 | Loss: 1.5846
  Batch 2300 | Loss: 1.5796
  Batch 2400 | Loss: 1.5748
  Batch 2500 | Loss: 1.5679
  Batch 2600 | Loss: 1.5610
  Batch 2700 | Loss: 1.5543
  Batch 2800 | Loss: 1.5537
  Batch 2900 | Loss: 1.5484
  Batch 3000 | Loss: 1.5419
  Batch 3100 | Loss: 1.5363
  Batch 3200 | Loss: 1.5334
  Batch 3300 | Loss: 1.5292
  Batch 3400 | Loss: 1.5257
  Batch 3500 | Loss: 1.5199
  Batch 3600 | Loss: 1.5140
  Batch 3700 | Loss: 1.5096
  Batch 3800 | Loss: 1.5030
  Batch 3900 | Loss: 1.5005
  Batch 4000 | Loss: 1.4962
  Batch 4100 | Loss: 1.4917
  Batch 4200 | Loss: 1.4866
  Batch 4300 | Loss: 1.4824
  Batch 4400 | Loss: 1.4782
  Batch 4500 | Loss: 1.4732
  Batch 4600 | Loss: 1.4685
  Batch 4700 | Loss: 1.4649
  Batch 4800 | Loss: 1.4600
  Batch 4900 | Loss: 1.4557
  Batch 5000 | Loss: 1.4505
  Batch 5100 | Loss: 1.4456
  Batch 5200 | Loss: 1.4409
  Batch 5300 | Loss: 1.4380
  Batch 5400 | Loss: 1.4340
  Batch 5500 | Loss: 1.4295
  Batch 5600 | Loss: 1.4246
  Batch 5700 | Loss: 1.4213
  Batch 5800 | Loss: 1.4172
  Batch 5900 | Loss: 1.4128
  Batch 6000 | Loss: 1.4086
  Batch 6100 | Loss: 1.4039
  Batch 6200 | Loss: 1.4001
  Batch 6300 | Loss: 1.3972
  Batch 6400 | Loss: 1.3916
  Batch 6500 | Loss: 1.3878
  Batch 6600 | Loss: 1.3841
  Batch 6700 | Loss: 1.3793
  Batch 6800 | Loss: 1.3752
  Batch 6900 | Loss: 1.3711
  Batch 7000 | Loss: 1.3659
  Batch 7100 | Loss: 1.3619
  Batch 7200 | Loss: 1.3582
  Batch 7300 | Loss: 1.3546
  Batch 7400 | Loss: 1.3518
  Batch 7500 | Loss: 1.3481
  Batch 7600 | Loss: 1.3446
  Batch 7700 | Loss: 1.3410
  Batch 7800 | Loss: 1.3379
  Batch 7900 | Loss: 1.3343
  Batch 8000 | Loss: 1.3311
  Batch 8100 | Loss: 1.3274
  Batch 8200 | Loss: 1.3233
  Batch 8300 | Loss: 1.3200
  Batch 8400 | Loss: 1.3158
  Batch 8500 | Loss: 1.3124
  Batch 8600 | Loss: 1.3084
  Batch 8700 | Loss: 1.3050
  Batch 8800 | Loss: 1.3021
  Batch 8900 | Loss: 1.2985
  Batch 9000 | Loss: 1.2950
  Batch 9100 | Loss: 1.2915
  Batch 9200 | Loss: 1.2877
  Batch 9300 | Loss: 1.2849
  Batch 9400 | Loss: 1.2816
  Batch 9500 | Loss: 1.2776
  Batch 9600 | Loss: 1.2739
  Batch 9700 | Loss: 1.2700
  Batch 9800 | Loss: 1.2671
  Batch 9900 | Loss: 1.2640
  Batch 10000 | Loss: 1.2612
  Batch 10100 | Loss: 1.2574
  Batch 10200 | Loss: 1.2541
  Batch 10300 | Loss: 1.2507
  Batch 10400 | Loss: 1.2473
  Batch 10500 | Loss: 1.2437
  Batch 10600 | Loss: 1.2410
  Batch 10700 | Loss: 1.2377
  Batch 10800 | Loss: 1.2346
Epoch 2 | train_loss=1.2329 | dev_loss=0.8976
  Batch 0 | Loss: 0.2789
  Batch 100 | Loss: 0.7624
  Batch 200 | Loss: 0.7630
  Batch 300 | Loss: 0.7864
  Batch 400 | Loss: 0.7788
  Batch 500 | Loss: 0.7738
  Batch 600 | Loss: 0.7764
  Batch 700 | Loss: 0.7767
  Batch 800 | Loss: 0.7749
  Batch 900 | Loss: 0.7773
